,variable,importance,correlation,unbalance,statistical_parity,equalized_odds,average_odds
18, Divorced,0.015513897866839033,-0.17474602872496212,1.1373749744845887,0.20572158089689646,-0.5447696962184083,0.08427734023806954
19, Married-AF-spouse,0.0007433742727860349,0.023975690244522438,0.998482646119356,-0.30524102232287287,0.7516853411308899,-0.1733527445271218
20, Married-civ-spouse,0.07831286360698127,0.4949378435500157,0.048676746543580014,-0.3928317368874098,0.744197488557469,-0.22037932246705771
21, Married-spouse-absent,0.0020038784744667026,-0.05079821044338319,1.0114302698244102,0.18395114237417526,-0.5532255042485221,0.04064125633894977
22, Never-married,0.038461538461538436,-0.3308582476794131,1.4660155236275272,0.2799804564551645,-0.6430288700291324,0.18185918809244506
23, Separated,0.0031674208144796268,-0.08426849028832066,1.0301354947411896,0.19555667823986986,-0.5793167629201904,0.0985961668691081
24, Widowed,0.0009372979961215222,-0.0835264316039189,1.0296208558595537,0.1953681585927938,-0.5948167458500484,0.08056401086526255
25, ?,0.0011312217194570096,-0.09361093432470405,1.0464209917036467,0.1610061407652338,-0.4031320264816289,0.06921350968351436
26, Adm-clerical,0.004848093083387184,-0.1039403097222643,1.07877159866415,0.12576365024818634,-0.24917184247417323,0.049834996999945425
27, Craft-repair,0.0012281835811247532,-0.12404146849609463,1.0970963120967827,0.1464940608760208,-0.5093352321661858,-0.07017353377876756
28, Exec-managerial,0.036619263089851306,0.3205161404372794,0.7602170187578029,-0.39163472037798647,0.5231634671579698,-0.06707714864194025
29, Farming-fishing,0.006108597285067852,-0.08621971025297892,1.0315103836230597,0.19604656202594345,-0.6554733835449749,0.02697370910429331
30, Handlers-cleaners,0.003135100193923712,-0.10329948449669499,1.0440357685169563,0.20364433946347224,-0.6608905256417523,0.08719820394622446
31, Machine-op-inspct,0.0016483516483516425,-0.11421361419348353,1.0594304591107866,0.1882744465793162,-0.5737454785897209,0.044796600356073135
32, Other-service,0.011797026502908814,-0.16777478349778763,1.1161616161616161,0.21771284271284272,-0.672198524837821,0.1267566974088713
33, Priv-house-serv,0.0004848093083387184,-0.028030973413954306,1.003242542153048,0.19568741893644617,-0.6492722745502583,0.16066796368352787
34, Prof-specialty,0.02091144149967683,0.26853950748858485,0.7926709508019077,-0.32041762148796066,0.4552843406564203,-0.061433381633852036
35, Protective-serv,0.004363283775048465,0.004109353824896074,0.99879647399408,-0.011529014993218206,-0.05037040053165098,-0.0552622896733751
36, Sales,0.015546218487394969,0.08918892957729371,0.9374488930326397,-0.11456629151684963,0.2388232928194667,-0.019466128519208037
37, Tech-support,0.009599224305106624,0.06543362236803006,0.977256754097439,-0.1559721466158592,0.2284659843744325,-0.07493724671868385
38, Transport-moving,0.0002262443438914019,-0.08712851358437965,1.0401617863510717,0.15998440965591887,-0.5117079258618954,-0.032880484310113256
39, Husband,0.017614738202973546,0.4290150955628054,0.2640026203734032,-0.34485591506572294,0.47455460373694536,-0.19183940006740818
