,variable,importance,correlation,unbalance,statistical_parity,equalized_odds,average_odds
87,Subcategory_Indie Rock,0.0005335396353256527,0.09249984604003007,1.0074781230651673,0.3489502461254049,-0.2469482301102327,-0.011965587983272297
88,Subcategory_Installations,2.667698176628264e-06,-0.0019432951150221533,0.9999573508817818,-0.02662980477888266,0.2657267006834233,-0.13615498144188043
89,Subcategory_Interactive Design,0.0,-0.012802546374776388,0.999739888551769,-0.1894803520592917,0.1849395175134395,0.03267974947002705
90,Subcategory_Jazz,1.8673887236397845e-05,0.04160099571345876,1.0018263618295822,0.285942840596311,-0.21129017938761618,0.042581588013627214
91,Subcategory_Jewelry,1.8673887236397845e-05,-0.024991785920880458,0.9990974798151905,-0.20852987300912218,0.437693029166913,-0.0610877492678682
92,Subcategory_Journalism,8.00309452988479e-06,-0.01099266594396141,0.9994892648300209,-0.07143346381396687,0.025586842367120083,0.03560423257726064
93,Subcategory_Kids,0.0,0.011119859165383677,1.0002113198684313,0.17592882189453984,-0.16670722227331958,0.05451957575896271
94,Subcategory_Knitting,0.0,-0.004415245614291591,0.9999348454158983,-0.08992875740925055,0.26702507722480073,-0.08215936060775697
95,Subcategory_Latin,0.0,-0.0006195985265290382,0.9999921520048527,-0.01470069633874127,-0.12482497653425481,0.030675694480185922
96,Subcategory_Letterpress,0.0,0.009048157603732905,1.0000780832189349,0.3150297499933296,-0.08871095473789958,0.02517409749459698
97,Subcategory_Literary Journals,0.0,-0.006202883427563983,0.9998811888292705,-0.09736761083743839,0.4067483473432507,-0.21058696116517817
98,Subcategory_Literary Spaces,0.0,0.003180211725811879,1.0000152224948307,0.1996011578427842,-0.1998013244565729,0.10209825656622251
99,Subcategory_Live Games,0.0,-0.0247339485926858,0.9991533801809879,-0.21766844552632392,0.30065506649990137,0.01881066067471826
100,Subcategory_Makerspaces,0.0,-0.006555623469795394,0.9998947217020046,-0.1227053655903454,0.071669037765204,0.013211850507315326
101,Subcategory_Metal,0.0,-0.003946739690014888,0.9998842003546219,-0.040490504002886896,0.0402901599622246,0.002097004851579154
102,Subcategory_Mixed Media,0.0,-0.010536820602793786,0.9994336659902474,-0.05928872750001535,0.1364600699690903,-0.03587145569208028
103,Subcategory_Mobile Games,1.3338490883141318e-05,-0.040415737633010866,0.9981172003561147,-0.2619388820215732,0.4010846720578246,0.043958421357731536
104,Subcategory_Movie Theaters,0.0,-0.00289693815899201,0.9999499873598734,-0.050444480038441486,-0.066482185167858,0.06367543613769544
105,Subcategory_Music,0.0010030545144122272,0.07085720003255007,1.0089435952387849,0.17490030823229852,-0.1744358902304353,0.025062469601545123
106,Subcategory_Music Videos,0.0,-0.013133220761984143,0.9996032480727399,-0.13087573479786818,0.3185140337074469,-0.08677046059607019
107,Subcategory_Musical,2.134158541302611e-05,-0.004241119249425033,0.9998569869900579,-0.03788327958817306,0.32874307188000573,-0.1913418215158148
108,Subcategory_Narrative Film,0.00010137253071187402,0.01621024443773811,1.0012306874330827,0.06500334861808221,-0.12156263560528074,0.048352580366221365
109,Subcategory_Nature,0.0,-0.01816953459541386,0.999556237981466,-0.22379686644315921,0.3298656507852322,0.015575954692988891
110,Subcategory_Nonfiction,0.0002694375158394546,-0.030168913136917285,0.9970435355864993,-0.09455097684372005,0.08050631009028356,0.012113899854685029
111,Subcategory_Painting,2.667698176628264e-06,-0.0209579849461471,0.9986744246542882,-0.10046979957692703,0.2499731975189771,-0.064689258985825
112,Subcategory_People,5.335396353256528e-06,-0.021224465500801183,0.9992506507415236,-0.1811180610960016,0.3088302708486059,-0.027017650150558348
113,Subcategory_Performance Art,3.201237811953916e-05,0.0032802452847044182,1.000163450077813,0.01989047130209909,0.045199722029054284,-0.009329735914692883
114,Subcategory_Performances,5.335396353256528e-06,0.007285814887672619,1.0002450590863528,0.06524418284321798,0.25169999660542197,-0.197919646599384
115,Subcategory_Periodicals,0.0,0.0037723756174671205,1.0001415457958045,0.030301777323085588,-0.02509577460223872,5.2163359254842057e-05
116,Subcategory_Pet Fashion,0.0,-0.0061720892600736115,0.9999177395517691,-0.13917671771826068,-0.03311751780678898,0.06986363284175734
117,Subcategory_Photo,2.667698176628264e-06,-0.014083955705466777,0.9997841144454735,-0.2761702792525056,0.6337012054735678,-0.019869276365257926
118,Subcategory_Photobooks,2.667698176628264e-06,0.0072276699476357354,1.0003096048825428,0.05090428365043265,0.012906918448057386,0.0017869329572183235
119,Subcategory_Photography,9.870483253524576e-05,-0.01632978973348608,0.9986503220323362,-0.060297495507670495,0.09267181702203411,-0.01137319261949754
120,Subcategory_Places,2.667698176628264e-06,-0.025734253861167074,0.9991960718971985,-0.24803073566962375,0.44600976990975966,0.007993287286974016
121,Subcategory_Playing Cards,8.003094529884791e-05,0.014511139206623534,1.0007657143529842,0.08314896915044945,-0.08842161990842912,-0.049363933840803176
122,Subcategory_Plays,2.93446799429109e-05,-0.0030889594225338686,0.9998812830742154,-0.024227953464880714,0.29449821340707144,-0.1669620255669636
123,Subcategory_Poetry,2.4009283589654374e-05,-0.022359725959456803,0.9991273370402804,-0.1727181116012505,0.41956705039735553,-0.10582843236051354
124,Subcategory_Pop,7.736324712221964e-05,0.02622759388501668,1.0016552406296741,0.12600249025513688,-0.13924415918734595,0.029797716300909327
125,Subcategory_Pottery,0.0,0.0071874956222124425,1.0000666277108554,0.23297045377732717,-0.08870973325863507,0.035433231940516174
126,Subcategory_Print,5.335396353256528e-06,-0.02109767799799715,0.9994106319303525,-0.2272923962128448,0.4435607036111626,-0.030315124646771885
127,Subcategory_Printing,0.0,-0.011085998359993373,0.9998049632857591,-0.18943482639306009,0.4254687314066271,-0.08315226875767212
128,Subcategory_Product Design,0.00178202238198768,0.02296023724869584,1.0037550406319848,0.04480166653934914,-0.09532852483414905,0.012517407864748087
129,Subcategory_Public Art,6.936015259233486e-05,0.01188859243306622,1.0006967987831255,0.061422519959904,0.012862077501743147,-0.037702208989436325
130,Subcategory_Publishing,0.00011204332341838708,-0.022604384458961273,0.9982218740864233,-0.08756894463961262,0.12290001160339567,-0.005973264604994366
131,Subcategory_Punk,0.0,-0.009527873806107279,0.9998355111163291,-0.16590918191646986,0.3003759279999103,-0.0325451487606615
132,Subcategory_Puzzles,0.0,-0.003122560159845682,0.9999539212251548,-0.06359962268047181,0.20032191287573695,-0.055830225878978235
133,Subcategory_Quilts,0.0,-0.008276944684897506,0.9999159482681776,-0.24491273790834844,0.30024370771068654,0.0465484296084806
134,Subcategory_R&B,0.0,-0.009151669352984143,0.9998027732647069,-0.12770796344927293,0.1646321167796364,-0.009028055963561377
135,Subcategory_Radio & Podcasts,0.0,-0.003430668732210889,0.9998837315029568,-0.030490832007061597,0.08577989629911748,-0.012941715370932583
136,Subcategory_Ready-to-wear,0.0,-0.019868449914571276,0.9993756685905224,-0.19038115171916548,0.06957270082524653,0.061536312666784276
137,Subcategory_Residencies,0.0,0.0032086305708859315,1.0000266031656624,0.11627578631874314,0.300314325409626,-0.3146242167940696
138,Subcategory_Restaurants,2.667698176628264e-06,-0.03000219955848296,0.9982975253303469,-0.16002346585777427,-0.022907496024374974,0.07035841378739327
139,Subcategory_Robots,0.0,0.004074741245919689,1.000106015973224,0.0471223032171304,-0.030664847458567845,0.017374392792924964
140,Subcategory_Rock,0.0006215736751543855,0.07423782053095428,1.0066469650434773,0.25373120055701276,-0.23166783575562905,-0.0035026801908082383
141,Subcategory_Romance,0.0,-0.0009135875787728946,0.9999863421072378,-0.018367764550970667,0.16663022781051137,-0.10308902293635125
142,Subcategory_Science Fiction,0.0,-0.005793847683200788,0.9998346092768609,-0.06108857773187659,0.09848156186174478,-0.01765894784710076
143,Subcategory_Sculpture,0.0,-0.00035384627714263946,0.9999836924976641,-0.002317919214151032,0.07891404660600068,-0.017233203349968695
144,Subcategory_Shorts,0.002296888130076935,0.07752886647018947,1.0095428147097119,0.19589475096269182,-0.09532274982003894,-0.016269885108263327
145,Subcategory_Small Batch,2.6676981766282637e-05,-0.018446891296313158,0.9991521675497298,-0.12116611494339524,0.1780743727274049,-0.009671154522399639
