data,variable,correlation_true,mutual_info,unpriv_prob_pos,unpriv_unbalance,priv_unbalance,statistical_parity,equal_opportunity,average_odds,skew_var,gini,simpson,shannon,ir,pos_prob
compas,c_charge_desc=Grand_Theft_Dwell_Property,0.0446089916708338,0.0012990658436362,0.551219512195122,1.001626016260163,0.0,1.0,1.0,1.0,24.81934729198172,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.551219512195122
compas,c_charge_desc=Grand_Theft_Firearm,0.0631379936103314,0.0026013738615533,0.5521172638436482,1.003257328990228,0.0,1.0,1.0,1.0,17.507002008593346,0.1123805718408784,8.488010563101136e-05,0.998710206488986,0.0031593690225611,0.5521172638436482
compas,c_charge_desc=Grand_Theft_in_the_3rd_Degree,0.0598894292003283,0.0017823786369898,0.5590828924162258,1.0159146363669471,0.8158449220396123,0.0,0.0,0.0,3.115298981530382,0.108039088095614,9.87984439958016e-05,0.9987618944504218,0.0863299663299662,0.110103300579491
compas,c_charge_desc=Grand_Theft_of_a_Fire_Extinquisher,0.0446089916708338,0.0012990658436362,0.551219512195122,1.001626016260163,0.0,1.0,1.0,0.0,24.81934729198171,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.551219512195122
compas,c_charge_desc=Grand_Theft_of_the_2nd_Degree,-0.0364504150230707,0.0009706349138429,0.5495934959349593,0.998671367244646,1.8171091445427727,1.0,1.0,1.0,24.81934729198172,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.4504065040650407
compas,c_charge_desc=Harass_Witness_Victm_Informnt,-0.0364504150230707,0.0009706349138429,0.5495934959349593,0.998671367244646,1.8171091445427727,1.0,1.0,0.0,24.81934729198171,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.4504065040650407
compas,c_charge_desc=Kidnapping___Domestic_Violence,-0.0364504150230707,0.0009706349138429,0.5495934959349593,0.998671367244646,1.8171091445427727,1.0,1.0,1.0,24.81934729198172,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.4504065040650407
compas,c_charge_desc=Leave_Acc_Attend_Veh_More_$50,-0.0515906319470849,0.0019434330861618,0.5488599348534202,0.9973384066953004,1.8171091445427727,1.0,1.0,0.0,17.507002008593354,0.1123805718408784,8.488010563101136e-05,0.998710206488986,0.0031593690225611,0.4511400651465798
compas,c_charge_desc=Leaving_Acc_Unattended_Veh,-0.0364504150230707,0.0009706349138429,0.5495934959349593,0.998671367244646,1.8171091445427727,1.0,1.0,0.0,24.81934729198172,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.4504065040650407
compas,c_charge_desc=Leaving_the_Scene_of_Accident,0.0446089916708338,0.0012990658436362,0.551219512195122,1.001626016260163,0.0,1.0,1.0,1.0,24.81934729198172,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.551219512195122
compas,c_charge_desc=Lewd_or_Lascivious_Molestation,-0.0364504150230707,0.0009706349138429,0.5495934959349593,0.998671367244646,1.8171091445427727,1.0,1.0,0.0,24.81934729198171,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.4504065040650407
compas,c_charge_desc=Lewd_Lasc_Battery_Pers_12+_<16,0.0446089916708338,0.0012990658436362,0.551219512195122,1.001626016260163,0.0,1.0,1.0,0.0,24.81934729198171,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.551219512195122
compas,c_charge_desc=Misuse_Of_911_Or_E911_System,-0.0364504150230707,0.0009706349138429,0.5495934959349593,0.998671367244646,1.8171091445427727,1.0,1.0,0.0,24.81934729198172,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.4504065040650407
compas,c_charge_desc=Neglect_Child___No_Bodily_Harm,-0.0364504150230707,0.0009706349138429,0.5495934959349593,0.998671367244646,1.8171091445427727,1.0,1.0,0.0,24.81934729198172,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.4504065040650407
compas,c_charge_desc=Neglect_Abuse_Elderly_Person,-0.0364504150230707,0.0009706349138429,0.5495934959349593,0.998671367244646,1.8171091445427727,1.0,1.0,0.0,24.81934729198171,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.4504065040650407
compas,c_charge_desc=Obstruct_Officer_W_Violence,0.0446089916708338,0.0012990658436362,0.551219512195122,1.001626016260163,0.0,1.0,1.0,1.0,24.81934729198172,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.551219512195122
compas,c_charge_desc=Operating_W_O_Valid_License,0.0081785487135052,3.327546761791936e-05,0.5506535947712419,1.0005976825341738,0.9085545722713864,1.0,1.0,1.0,12.31848830022492,0.1121958278517182,8.543304442472388e-05,0.9987137089333002,0.0064383099677217,0.0506535947712418
compas,c_charge_desc=PL_Unlaw_Use_Credit_Card,0.0446089916708338,0.0012990658436362,0.551219512195122,1.001626016260163,0.0,1.0,1.0,0.0,24.81934729198172,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.551219512195122
compas,c_charge_desc=Petit_Theft,-0.0324503707019723,0.0005580115752175,0.5490196078431373,0.9976285499450516,1.3628318584070795,1.0,1.0,1.0,12.318488300224915,0.1121958278517182,8.543304442472388e-05,0.9987137089333002,0.0064383099677217,0.2009803921568627
compas,c_charge_desc=Pos_Cannabis_For_Consideration,0.0446089916708338,0.0012990658436362,0.551219512195122,1.001626016260163,0.0,1.0,1.0,0.0,24.81934729198171,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.551219512195122
compas,c_charge_desc=Pos_Cannabis_W_Intent_Sel_Del,-0.0460424665934098,0.0011229473217496,0.5476973684210527,0.9952258965999068,1.3628318584070795,0.0,1.0,0.0,8.624104495479724,0.1118263398733979,8.6549581542302e-05,0.998719797945426,0.0130609077977498,0.2023026315789473
compas,c_charge_desc=Pos_Methylenedioxymethcath_W_I_D_S,0.0446089916708338,0.0012990658436362,0.551219512195122,1.001626016260163,0.0,1.0,1.0,0.0,24.81934729198172,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.551219512195122
compas,"c_charge_desc=Poss_3,4_MDMA_(Ecstasy)",-0.0364504150230707,0.0009706349138429,0.5495934959349593,0.998671367244646,1.8171091445427727,1.0,1.0,1.0,24.81934729198171,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.4504065040650407
compas,c_charge_desc=Poss_AntiShoplifting_Device,-0.0163609252962176,0.0001373086910378,0.5497553017944535,0.9989653861515732,1.2114060963618487,1.0,1.0,1.0,14.259310080841596,0.1122881998462983,8.51561306686513e-05,0.9987120137073364,0.0047961649919235,0.1169113648722131
compas,c_charge_desc=Poss_Cocaine_Intent_To_Del_Sel,-0.0364504150230707,0.0009706349138429,0.5495934959349593,0.998671367244646,1.8171091445427727,1.0,1.0,0.0,24.81934729198172,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.4504065040650407
compas,c_charge_desc=Poss_Contr_Subst_W_o_Prescript,0.0057736808316232,1.658326056956823e-05,0.5504885993485342,1.000297867842764,0.9085545722713864,1.0,1.0,1.0,17.50700200859335,0.1123805718408784,8.488010563101136e-05,0.998710206488986,0.0031593690225611,0.0504885993485342
compas,c_charge_desc=Poss_Meth_Diox_Meth_Amp_(MDMA),0.0446089916708338,0.0012990658436362,0.551219512195122,1.001626016260163,0.0,1.0,1.0,0.0,24.81934729198171,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.551219512195122
compas,c_charge_desc=Poss_Pyrrolidinovalerophenone,0.0631379936103314,0.0026013738615533,0.5521172638436482,1.003257328990228,0.0,1.0,1.0,1.0,17.507002008593346,0.1123805718408784,8.488010563101136e-05,0.998710206488986,0.0031593690225611,0.5521172638436482
