,variable,correlation_true,correlation_pred,mutual_info,unpriv_prob,priv_prob,unbalance,statistical_parity,equal_opportunity,average_odds,instance_num,log_inst_num,class_num,feat_num,log_feat_num,inst_missing_vals,perc_inst_missing_val,feat_missing_val,perc_feat_missing_val,missing_vals,perc_miss_vals,numeric_features,cat_features,ratio_num_cat,ratio_cat_num,dataset_ratio,log_dataset_ratio,inverse_ratio,log_inverse_ratio,class_prob_min,class_prob_max,class_prob_mean,class_prob_std,symbols,symbols_min,symbols_max,symbols_mean,symbols_std,symbols_sum,kurtosis_min,kurtosis_max,kurtosis_mean,kurtosis_std,kurtosis_var,skew_min,skew_max,skew_mean,skew_std,skew_var,class_entropy
10,higher,0.1096751668214891,0.1096751668214891,0.0058336854515088354,0.5714285714285714,0.6981132075471698,0.8507936507936508,-0.12668463611859837,0.0,0.0,67,4.204692619390966,2,49,3.8918202981106265,0,0,0,0,0,0,47,2,23.5,0.0425531914893617,0.7313432835820896,-0.3128723212803394,1.3673469387755102,0.3128723212803394,0.3283582089552239,0.6716417910447762,0.5,0.17164179104477614,2,2,2,2.0,0.0,4,-2.0615384615384618,30.875502958579876,1.1067281360826344,5.041296134147767,0.14898921832884104,-2.1941021399431935,5.652816474284617,0.6520790679894608,1.4821039870002,-1.4647336767942871,3.8066624897703205
11,internet,0.005689906183324323,0.005689906183324323,1.6158150389716797e-05,0.6666666666666666,0.6730769230769231,0.9925925925925924,-0.0064102564102564985,0.0,0.0,67,4.204692619390966,2,49,3.8918202981106265,0,0,0,0,0,0,47,2,23.5,0.0425531914893617,0.7313432835820896,-0.3128723212803394,1.3673469387755102,0.3128723212803394,0.3283582089552239,0.6716417910447762,0.5,0.17164179104477614,2,2,2,2.0,0.0,4,-2.0615384615384618,30.875502958579876,1.1067281360826344,5.041296134147767,-0.16898668639053271,-2.1941021399431935,5.652816474284617,0.6520790679894608,1.4821039870002,-1.3553468014525127,3.8066624897703205
12,romantic,-0.15954480704349314,-0.15954480704349314,0.012858604664500284,0.75,0.6,1.1166666666666665,0.15000000000000002,0.0,0.0,67,4.204692619390966,2,49,3.8918202981106265,0,0,0,0,0,0,47,2,23.5,0.0425531914893617,0.7313432835820896,-0.3128723212803394,1.3673469387755102,0.3128723212803394,0.3283582089552239,0.6716417910447762,0.5,0.17164179104477614,2,2,2,2.0,0.0,4,-2.0615384615384618,30.875502958579876,1.1067281360826344,5.041296134147767,-2.05383070054945,-2.1941021399431935,5.652816474284617,0.6520790679894608,1.4821039870002,-0.09170821825230627,3.8066624897703205
13,course,0.2058187123692653,0.2058187123692653,0.0218254673603534,0.5897435897435898,0.7857142857142857,0.8780626780626779,-0.19597069597069594,0.0,0.0,67,4.204692619390966,2,49,3.8918202981106265,0,0,0,0,0,0,47,2,23.5,0.0425531914893617,0.7313432835820896,-0.3128723212803394,1.3673469387755102,0.3128723212803394,0.3283582089552239,0.6716417910447762,0.5,0.17164179104477614,2,2,2,2.0,0.0,4,-2.0615384615384618,30.875502958579876,1.1067281360826344,5.041296134147767,-1.9429575232459848,-2.1941021399431935,5.652816474284617,0.6520790679894608,1.4821039870002,0.3405472506671095,3.8066624897703205
14,Mjob_at_home,0.06527966922263138,0.06527966922263138,0.002171346027061316,0.6530612244897959,0.7222222222222222,0.9723356009070294,-0.06916099773242634,0.0,0.0,67,4.204692619390966,2,49,3.8918202981106265,0,0,0,0,0,0,47,2,23.5,0.0425531914893617,0.7313432835820896,-0.3128723212803394,1.3673469387755102,0.3128723212803394,0.3283582089552239,0.6716417910447762,0.5,0.17164179104477614,2,2,2,2.0,0.0,4,-2.0615384615384618,30.875502958579876,1.1067281360826344,5.041296134147767,-0.8870225013082145,-2.1941021399431935,5.652816474284617,0.6520790679894608,1.4821039870002,1.067882362815447,3.8066624897703205
15,Mjob_health,0.10798295716161979,0.10798295716161979,0.006494565292938501,0.6557377049180327,0.8333333333333334,0.9763205828779599,-0.17759562841530063,0.0,0.0,67,4.204692619390966,2,49,3.8918202981106265,0,0,0,0,0,0,47,2,23.5,0.0425531914893617,0.7313432835820896,-0.3128723212803394,1.3673469387755102,0.3128723212803394,0.3283582089552239,0.6716417910447762,0.5,0.17164179104477614,2,2,2,2.0,0.0,4,-2.0615384615384618,30.875502958579876,1.1067281360826344,5.041296134147767,6.854192938209334,-2.1941021399431935,5.652816474284617,0.6520790679894608,1.4821039870002,2.941156670575226,3.8066624897703205
16,Mjob_other,-0.03017626564318361,-0.03017626564318361,0.0004538916283512995,0.6829268292682927,0.6538461538461539,1.01680216802168,0.02908067542213888,0.0,0.0,67,4.204692619390966,2,49,3.8918202981106265,0,0,0,0,0,0,47,2,23.5,0.0425531914893617,0.7313432835820896,-0.3128723212803394,1.3673469387755102,0.3128723212803394,0.3283582089552239,0.6716417910447762,0.5,0.17164179104477614,2,2,2,2.0,0.0,4,-2.0615384615384618,30.875502958579876,1.1067281360826344,5.041296134147767,-1.8347885697791888,-2.1941021399431935,5.652816474284617,0.6520790679894608,1.4821039870002,0.4700117002459226,3.8066624897703205
17,Mjob_services,-0.0332939554893052,-0.0332939554893052,0.0005467313924970296,0.6785714285714286,0.6363636363636364,1.0103174603174603,0.04220779220779225,0.0,0.0,67,4.204692619390966,2,49,3.8918202981106265,0,0,0,0,0,0,47,2,23.5,0.0425531914893617,0.7313432835820896,-0.3128723212803394,1.3673469387755102,0.3128723212803394,0.3283582089552239,0.6716417910447762,0.5,0.17164179104477614,2,2,2,2.0,0.0,4,-2.0615384615384618,30.875502958579876,1.1067281360826344,5.041296134147767,1.4840315934065949,-2.1941021399431935,5.652816474284617,0.6520790679894608,1.4821039870002,1.8548900439736213,3.8066624897703205
18,Mjob_teacher,-0.11462806221771947,-0.11462806221771947,0.006207988951933446,0.6885245901639344,0.5,1.025136612021858,0.1885245901639344,0.0,0.0,67,4.204692619390966,2,49,3.8918202981106265,0,0,0,0,0,0,47,2,23.5,0.0425531914893617,0.7313432835820896,-0.3128723212803394,1.3673469387755102,0.3128723212803394,0.3283582089552239,0.6716417910447762,0.5,0.17164179104477614,2,2,2,2.0,0.0,4,-2.0615384615384618,30.875502958579876,1.1067281360826344,5.041296134147767,6.854192938209335,-2.1941021399431935,5.652816474284617,0.6520790679894608,1.4821039870002,2.9411566705752272,3.8066624897703205
19,Fjob_at_home,-0.07288792981454689,-0.07288792981454689,0.0025585725142839577,0.6833333333333333,0.5714285714285714,1.017407407407407,0.11190476190476195,0.0,0.0,67,4.204692619390966,2,49,3.8918202981106265,0,0,0,0,0,0,47,2,23.5,0.0425531914893617,0.7313432835820896,-0.3128723212803394,1.3673469387755102,0.3128723212803394,0.3283582089552239,0.6716417910447762,0.5,0.17164179104477614,2,2,2,2.0,0.0,4,-2.0615384615384618,30.875502958579876,1.1067281360826344,5.041296134147767,5.152925824175826,-2.1941021399431935,5.652816474284617,0.6520790679894608,1.4821039870002,2.6457404481580284,3.8066624897703205
20,Fjob_health,-0.1642642095257443,-0.1642642095257443,0.012540520250611156,0.6935483870967742,0.4,1.0326164874551969,0.2935483870967742,0.0,0.0,67,4.204692619390966,2,49,3.8918202981106265,0,0,0,0,0,0,47,2,23.5,0.0425531914893617,0.7313432835820896,-0.3128723212803394,1.3673469387755102,0.3128723212803394,0.3283582089552239,0.6716417910447762,0.5,0.17164179104477614,2,2,2,2.0,0.0,4,-2.0615384615384618,30.875502958579876,1.1067281360826344,5.041296134147767,9.244503722084362,-2.1941021399431935,5.652816474284617,0.6520790679894608,1.4821039870002,3.311997659691945,3.8066624897703205
21,Fjob_other,-0.12088726108034573,-0.12088726108034573,0.007426135696689595,0.7407407407407407,0.625,1.1028806584362139,0.1157407407407407,0.0,0.0,67,4.204692619390966,2,49,3.8918202981106265,0,0,0,0,0,0,47,2,23.5,0.0425531914893617,0.7313432835820896,-0.3128723212803394,1.3673469387755102,0.3128723212803394,0.3283582089552239,0.6716417910447762,0.5,0.17164179104477614,2,2,2,2.0,0.0,4,-2.0615384615384618,30.875502958579876,1.1067281360826344,5.041296134147767,-1.893680555555556,-2.1941021399431935,5.652816474284617,0.6520790679894608,1.4821039870002,-0.4046946722873648,3.8066624897703205
