,variable,correlation_true,mutual_info,unpriv_prob_pos,priv_prob_pos,unbalance,statistical_parity,equal_opportunity,average_odds,instance_num,log_inst_num,class_num,feat_num,log_feat_num,inst_missing_vals,perc_inst_missing_val,feat_missing_val,perc_feat_missing_val,missing_vals,perc_miss_vals,numeric_features,cat_features,ratio_num_cat,ratio_cat_num,dataset_ratio,log_dataset_ratio,inverse_ratio,log_inverse_ratio,class_prob_min,class_prob_max,class_prob_mean,class_prob_std,symbols,symbols_min,symbols_max,symbols_mean,symbols_std,symbols_sum,kurtosis_min,kurtosis_max,kurtosis_mean,kurtosis_std,kurtosis_var,skew_min,skew_max,skew_mean,skew_std,skew_var,class_entropy,unpriv_prob_neg,priv_prob_neg,pos_prob,neg_prob
10,2_foster,0.04405809177878285,0.002788664508934082,0.0,0.0,0.0,0.0,-0.023483698738701708,0.0,1296,7.16703787691222,4,29,3.3672958299864737,0,0,0,0,0,0,29,0,1,0.0,0.022376543209876542,-3.799742046925746,44.689655172413794,3.7997420469257457,0.02700617283950617,0.3487654320987654,0.24999999999999997,0.129853339812804,2,0,0,0,0,0,-2.0030553290924713,0.44899806220502203,-0.9825303816725931,0.7066649992300176,-0.6085134165827073,-0.006180024014033419,1.564706856402735,0.9048505831171584,0.4084914886394556,1.1800118778170756,6.634558048097446,1.0,1.0,0.0,0.0
11,2_incomplete,-0.008289446238741362,0.0006084881140273959,0.0,0.0,0.0,0.0,-0.0028145202949141357,0.0,1296,7.16703787691222,4,29,3.3672958299864737,0,0,0,0,0,0,29,0,1,0.0,0.022376543209876542,-3.799742046925746,44.689655172413794,3.7997420469257457,0.02700617283950617,0.3487654320987654,0.24999999999999997,0.129853339812804,2,0,0,0,0,0,-2.0030553290924713,0.44899806220502203,-0.9825303816725931,0.7066649992300176,-0.739812035070039,-0.006180024014033419,1.564706856402735,0.9048505831171584,0.4084914886394556,1.1230903947894553,6.634558048097446,1.0,1.0,0.0,0.0
12,3_1,-0.0320309730653454,0.002782389131312242,0.0,0.0,0.0,0.0,-0.03181146935761747,0.0,1296,7.16703787691222,4,29,3.3672958299864737,0,0,0,0,0,0,29,0,1,0.0,0.022376543209876542,-3.799742046925746,44.689655172413794,3.7997420469257457,0.02700617283950617,0.3487654320987654,0.24999999999999997,0.129853339812804,2,0,0,0,0,0,-2.0030553290924713,0.44899806220502203,-0.9825303816725931,0.7066649992300176,-0.8311638871456526,-0.006180024014033419,1.564706856402735,0.9048505831171584,0.4084914886394556,1.081721386513681,6.634558048097446,1.0,1.0,0.0,0.0
13,3_2,0.016641508343856377,0.0008538184810011479,0.0,0.0,0.0,0.0,-0.003607809847198662,0.0,1296,7.16703787691222,4,29,3.3672958299864737,0,0,0,0,0,0,29,0,1,0.0,0.022376543209876542,-3.799742046925746,44.689655172413794,3.7997420469257457,0.02700617283950617,0.3487654320987654,0.24999999999999997,0.129853339812804,2,0,0,0,0,0,-2.0030553290924713,0.44899806220502203,-0.9825303816725931,0.7066649992300176,-0.4274116164827184,-0.006180024014033419,1.564706856402735,0.9048505831171584,0.4084914886394556,1.2542927702373765,6.634558048097446,1.0,1.0,0.0,0.0
14,3_3,0.0025415185412230854,0.000963107996229836,0.0,0.0,0.0,0.0,0.011493952698842791,0.0,1296,7.16703787691222,4,29,3.3672958299864737,0,0,0,0,0,0,29,0,1,0.0,0.022376543209876542,-3.799742046925746,44.689655172413794,3.7997420469257457,0.02700617283950617,0.3487654320987654,0.24999999999999997,0.129853339812804,2,0,0,0,0,0,-2.0030553290924713,0.44899806220502203,-0.9825303816725931,0.7066649992300176,-0.5144178208420023,-0.006180024014033419,1.564706856402735,0.9048505831171584,0.4084914886394556,1.2191712013102833,6.634558048097446,1.0,1.0,0.0,0.0
15,3_more,0.013521493437415827,0.0024557375706532637,0.0,0.0,0.0,0.0,0.024280296632939846,0.0,1296,7.16703787691222,4,29,3.3672958299864737,0,0,0,0,0,0,29,0,1,0.0,0.022376543209876542,-3.799742046925746,44.689655172413794,3.7997420469257457,0.02700617283950617,0.3487654320987654,0.24999999999999997,0.129853339812804,2,0,0,0,0,0,-2.0030553290924713,0.44899806220502203,-0.9825303816725931,0.7066649992300176,-0.8409603095358915,-0.006180024014033419,1.564706856402735,0.9048505831171584,0.4084914886394556,1.0771907229477258,6.634558048097446,1.0,1.0,0.0,0.0
16,4_convenient,-0.02756776610504579,0.016379111059716997,0.0,0.0,0.0,0.0,-0.02134623367500077,0.0,1296,7.16703787691222,4,29,3.3672958299864737,0,0,0,0,0,0,29,0,1,0.0,0.022376543209876542,-3.799742046925746,44.689655172413794,3.7997420469257457,0.02700617283950617,0.3487654320987654,0.24999999999999997,0.129853339812804,2,0,0,0,0,0,-2.0030553290924713,0.44899806220502203,-0.9825303816725931,0.7066649992300176,-1.5318839852276527,-0.006180024014033419,1.564706856402735,0.9048505831171584,0.4084914886394556,0.6859172103277147,6.634558048097446,1.0,1.0,0.0,0.0
17,4_critical,0.00043722016117866817,0.015639949859151472,0.0,0.0,0.0,0.0,0.02844943337450989,0.0,1296,7.16703787691222,4,29,3.3672958299864737,0,0,0,0,0,0,29,0,1,0.0,0.022376543209876542,-3.799742046925746,44.689655172413794,3.7997420469257457,0.02700617283950617,0.3487654320987654,0.24999999999999997,0.129853339812804,2,0,0,0,0,0,-2.0030553290924713,0.44899806220502203,-0.9825303816725931,0.7066649992300176,-1.4906293305299447,-0.006180024014033419,1.564706856402735,0.9048505831171584,0.4084914886394556,0.715313504314725,6.634558048097446,1.0,1.0,0.0,0.0
18,4_less_conv,0.027289114316350036,0.000580626282394546,0.0,0.0,0.0,0.0,-0.0069232094405443645,0.0,1296,7.16703787691222,4,29,3.3672958299864737,0,0,0,0,0,0,29,0,1,0.0,0.022376543209876542,-3.799742046925746,44.689655172413794,3.7997420469257457,0.02700617283950617,0.3487654320987654,0.24999999999999997,0.129853339812804,2,0,0,0,0,0,-2.0030553290924713,0.44899806220502203,-0.9825303816725931,0.7066649992300176,-1.4799525279920593,-0.006180024014033419,1.564706856402735,0.9048505831171584,0.4084914886394556,0.7227265979788874,6.634558048097446,1.0,1.0,0.0,0.0
19,5_convenient,-0.0008581261624188989,0.0014837505291589864,0.0,0.0,0.0,0.0,-0.02055251250297696,0.0,1296,7.16703787691222,4,29,3.3672958299864737,0,0,0,0,0,0,29,0,1,0.0,0.022376543209876542,-3.799742046925746,44.689655172413794,3.7997420469257457,0.02700617283950617,0.3487654320987654,0.24999999999999997,0.129853339812804,2,0,0,0,0,0,-2.0030553290924713,0.44899806220502203,-0.9825303816725931,0.7066649992300176,-2.0030553290924713,-0.006180024014033419,1.564706856402735,0.9048505831171584,0.4084914886394556,0.006180024014033419,6.634558048097446,1.0,1.0,0.0,0.0
