,variable,correlation_true,correlation_pred,mutual_info,unpriv_prob,priv_prob,unbalance,statistical_parity,equal_opportunity,average_odds,instance_num,log_inst_num,class_num,feat_num,log_feat_num,inst_missing_vals,perc_inst_missing_val,feat_missing_val,perc_feat_missing_val,missing_vals,perc_miss_vals,numeric_features,cat_features,ratio_num_cat,ratio_cat_num,dataset_ratio,log_dataset_ratio,inverse_ratio,log_inverse_ratio,class_prob_min,class_prob_max,class_prob_mean,class_prob_std,symbols,symbols_min,symbols_max,symbols_mean,symbols_std,symbols_sum,kurtosis_min,kurtosis_max,kurtosis_mean,kurtosis_std,kurtosis_var,skew_min,skew_max,skew_mean,skew_std,skew_var,class_entropy
5,fine_alignment,0.25,0.25,0.04845795659882873,1.0,0.625,1.5,0.375,-0.5,0.2666666666666666,9,2.1972245773362196,2,41,3.713572066704308,0,0,0,0,0,0,41,0,1,0.0,4.555555555555555,1.5163474893680884,0.21951219512195122,-1.5163474893680884,0.3333333333333333,0.6666666666666666,0.5,0.16666666666666666,2,0,0,0,0,0,-2.571428571428571,9.0,0.4652600494299286,2.582394274558385,8.999999999999996,-2.9999999999999996,3.0,0.10193056666680761,1.0242377988269313,-2.9999999999999996,1.0986122886681096
0,gender,0.3952847075210474,0.31622776601683794,0.09890536490133944,1.0,0.75,1.1250000000000002,0.30000000000000004,-0.050000000000000044,-0.13333333333333341,9,2.1972245773362196,2,41,3.713572066704308,0,0,0,0,0,0,41,0,1,0.0,4.555555555555555,1.5163474893680884,0.21951219512195122,-1.5163474893680884,0.1111111111111111,0.8888888888888888,0.5,0.38888888888888884,2,0,0,0,0,0,-2.571428571428571,9.0,1.1348207552309737,3.2234370517428825,-2.571428571428571,-2.9999999999999996,3.0,0.30696989059398955,1.272345077036534,0.2710523708715756,0.0
1,CDecomp,0.3952847075210474,0.31622776601683794,0.09890536490133944,1.0,0.75,1.1250000000000002,0.30000000000000004,-0.050000000000000044,-0.13333333333333341,9,2.1972245773362196,2,41,3.713572066704308,0,0,0,0,0,0,41,0,1,0.0,4.555555555555555,1.5163474893680884,0.21951219512195122,-1.5163474893680884,0.1111111111111111,0.8888888888888888,0.5,0.38888888888888884,2,0,0,0,0,0,-2.571428571428571,9.0,1.1348207552309737,3.2234370517428825,-2.571428571428571,-2.9999999999999996,3.0,0.30696989059398955,1.272345077036534,0.2710523708715756,0.0
2,PDecomp,0.5,0.5000000000000001,0.13666070641142758,1.0,0.6666666666666666,1.125,0.5,-0.16666666666666674,-0.33333333333333337,9,2.1972245773362196,2,41,3.713572066704308,0,0,0,0,0,0,41,0,1,0.0,4.555555555555555,1.5163474893680884,0.21951219512195122,-1.5163474893680884,0.1111111111111111,0.8888888888888888,0.5,0.38888888888888884,2,0,0,0,0,0,-2.571428571428571,9.0,1.1348207552309737,3.2234370517428825,-1.7142857142857126,-2.9999999999999996,3.0,0.30696989059398955,1.272345077036534,0.8571428571428575,0.0
3,outpatient,0.1889822365046136,-0.18898223650461363,0.029852737174269228,1.0,0.8571428571428571,1.125,-0.2142857142857143,0.3571428571428571,0.33333333333333337,9,2.1972245773362196,2,41,3.713572066704308,0,0,0,0,0,0,41,0,1,0.0,4.555555555555555,1.5163474893680884,0.21951219512195122,-1.5163474893680884,0.1111111111111111,0.8888888888888888,0.5,0.38888888888888884,2,0,0,0,0,0,-2.571428571428571,9.0,1.1348207552309737,3.2234370517428825,0.7346938775510203,-2.9999999999999996,3.0,0.30696989059398955,1.272345077036534,-1.6198477414681167,0.0
4,fine_alignment,0.12499999999999999,0.25,0.013925285837310786,1.0,0.875,1.125,0.375,-0.25,-0.2857142857142857,9,2.1972245773362196,2,41,3.713572066704308,0,0,0,0,0,0,41,0,1,0.0,4.555555555555555,1.5163474893680884,0.21951219512195122,-1.5163474893680884,0.1111111111111111,0.8888888888888888,0.5,0.38888888888888884,2,0,0,0,0,0,-2.571428571428571,9.0,1.1348207552309737,3.2234370517428825,8.999999999999996,-2.9999999999999996,3.0,0.30696989059398955,1.272345077036534,-2.9999999999999996,0.0
0,gender,-0.33333333333333337,-0.33333333333333337,0.05112744282909326,0.5,0.8333333333333334,0.6666666666666666,-0.33333333333333337,-0.33333333333333337,0.8,8,2.0794415416798357,2,41,3.713572066704308,0,0,0,0,0,0,41,0,1,0.0,5.125,1.634130525024472,0.1951219512195122,-1.6341305250244718,0.25,0.75,0.5,0.25,2,0,0,0,0,0,-2.8000000000000003,8.0,1.1987993531372951,3.058364560920084,0.0,-2.8284271247461903,2.8284271247461903,0.3555803542097628,1.285569231529726,-1.4401645996461911,0.6931471805599453
1,CDecomp,-0.33333333333333337,-0.33333333333333337,0.0849495183976986,0.6666666666666666,1.0,0.8888888888888888,-0.33333333333333337,0.33333333333333337,-0.25,8,2.0794415416798357,2,41,3.713572066704308,0,0,0,0,0,0,41,0,1,0.0,5.125,1.634130525024472,0.1951219512195122,-1.6341305250244718,0.25,0.75,0.5,0.25,2,0,0,0,0,0,-2.8000000000000003,8.0,1.1987993531372951,3.058364560920084,0.0,-2.8284271247461903,2.8284271247461903,0.3555803542097628,1.285569231529726,1.4401645996461911,0.6931471805599453
2,PDecomp,0.5773502691896258,0.5773502691896258,0.21576155433883548,1.0,0.5,1.3333333333333333,0.5,-0.5,0.0,8,2.0794415416798357,2,41,3.713572066704308,0,0,0,0,0,0,41,0,1,0.0,5.125,1.634130525024472,0.1951219512195122,-1.6341305250244718,0.25,0.75,0.5,0.25,2,0,0,0,0,0,-2.8000000000000003,8.0,1.1987993531372951,3.058364560920084,-2.8000000000000003,-2.8284271247461903,2.8284271247461903,0.3555803542097628,1.285569231529726,0.0,0.6931471805599453
3,outpatient,0.2182178902359924,-0.6546536707079772,0.03884925460670802,1.0,0.7142857142857143,1.3333333333333333,-0.8571428571428571,0.8571428571428571,1.5,8,2.0794415416798357,2,41,3.713572066704308,0,0,0,0,0,0,41,0,1,0.0,5.125,1.634130525024472,0.1951219512195122,-1.6341305250244718,0.25,0.75,0.5,0.25,2,0,0,0,0,0,-2.8000000000000003,8.0,1.1987993531372951,3.058364560920084,8.0,-2.8284271247461903,2.8284271247461903,0.3555803542097628,1.285569231529726,-2.8284271247461903,0.6931471805599453
4,fine_alignment,-0.6546536707079772,0.2182178902359924,0.20348336611645018,0.0,0.8571428571428571,0.0,0.2857142857142857,0.8571428571428571,-0.16666666666666663,8,2.0794415416798357,2,41,3.713572066704308,0,0,0,0,0,0,41,0,1,0.0,5.125,1.634130525024472,0.1951219512195122,-1.6341305250244718,0.25,0.75,0.5,0.25,2,0,0,0,0,0,-2.8000000000000003,8.0,1.1987993531372951,3.058364560920084,8.0,-2.8284271247461903,2.8284271247461903,0.3555803542097628,1.285569231529726,-2.8284271247461903,0.6931471805599453
5,DevLoc_Below Jugular Notch,0.2182178902359924,0.2182178902359924,0.03884925460670802,1.0,0.7142857142857143,1.3333333333333333,0.2857142857142857,-0.2857142857142857,0.30000000000000004,8,2.0794415416798357,2,41,3.713572066704308,0,0,0,0,0,0,41,0,1,0.0,5.125,1.634130525024472,0.1951219512195122,-1.6341305250244718,0.25,0.75,0.5,0.25,2,0,0,0,0,0,-2.8000000000000003,8.0,1.1987993531372951,3.058364560920084,8.0,-2.8284271247461903,2.8284271247461903,0.3555803542097628,1.285569231529726,-2.8284271247461903,0.6931471805599453
6,DevLoc_NA,-0.2182178902359924,-0.2182178902359924,0.03884925460670802,0.7142857142857143,1.0,0.9523809523809523,-0.2857142857142857,0.2857142857142857,-0.30000000000000004,8,2.0794415416798357,2,41,3.713572066704308,0,0,0,0,0,0,41,0,1,0.0,5.125,1.634130525024472,0.1951219512195122,-1.6341305250244718,0.25,0.75,0.5,0.25,2,0,0,0,0,0,-2.8000000000000003,8.0,1.1987993531372951,3.058364560920084,8.0,-2.8284271247461903,2.8284271247461903,0.3555803542097628,1.285569231529726,2.8284271247461903,0.6931471805599453
0,gender,0.14285714285714285,0.29277002188455997,0.017918382754078754,1.0,0.8571428571428571,1.1428571428571428,0.4285714285714286,-0.5714285714285714,0.5,8,2.0794415416798357,2,41,3.713572066704308,0,0,0,0,0,0,41,0,1,0.0,5.125,1.634130525024472,0.1951219512195122,-1.6341305250244718,0.125,0.875,0.5,0.375,2,0,0,0,0,0,-2.24,8.0,0.967335969759625,3.296570792250638,8.0,-2.8284271247461903,2.8284271247461903,0.20178494746677106,1.3246560339916178,-2.8284271247461903,0.0
