,variable,correlation_true,correlation_pred,mutual_info,unpriv_prob_pos,priv_prob_pos,unbalance,statistical_parity,equal_opportunity,average_odds,instance_num,log_inst_num,class_num,feat_num,log_feat_num,inst_missing_vals,perc_inst_missing_val,feat_missing_val,perc_feat_missing_val,missing_vals,perc_miss_vals,numeric_features,cat_features,ratio_num_cat,ratio_cat_num,dataset_ratio,log_dataset_ratio,inverse_ratio,log_inverse_ratio,class_prob_min,class_prob_max,class_prob_mean,class_prob_std,symbols,symbols_min,symbols_max,symbols_mean,symbols_std,symbols_sum,kurtosis_min,kurtosis_max,kurtosis_mean,kurtosis_std,kurtosis_var,skew_min,skew_max,skew_mean,skew_std,skew_var,class_entropy,unpriv_prob_neg,priv_prob_neg,pos_prob,neg_prob
10,credit_history=A33,-0.08378245205433568,-0.17807149681164328,0.003279741508652123,0.7204301075268817,0.5714285714285714,1.0146902922913827,0.3133640552995392,0.029185867895545226,-0.24583811710677383,100,4.605170185988092,2,60,4.0943445622221,0,0,0,0,0,0,60,0,1,0.0,0.6,-0.5108256237659907,1.6666666666666667,0.5108256237659907,0.29,0.71,0.5,0.21,2,0,0,0,0,0,-1.979764659914039,100.0000000000001,8.602746784284495,17.90795470684865,9.908949089636328,-6.962011221737285,9.999999999999998,1.6908906931744445,2.7086165620223053,3.4221534427375957,4.262679877041316,0.27956989247311825,0.4285714285714286,0.14900153609831035,-0.14900153609831035
11,credit_history=A34,0.11704711024769307,0.20221984763919537,0.007142571914148993,0.676056338028169,0.7931034482758621,0.9521920253917874,-0.20009713453132583,0.14230208839242353,0.0978260869565217,100,4.605170185988092,2,60,4.0943445622221,0,0,0,0,0,0,60,0,1,0.0,0.6,-0.5108256237659907,1.6666666666666667,0.5108256237659907,0.29,0.71,0.5,0.21,2,0,0,0,0,0,-1.979764659914039,100.0000000000001,8.602746784284495,17.90795470684865,-1.1400790094280577,-6.962011221737285,9.999999999999998,1.6908906931744445,2.7086165620223053,0.9397506584812629,4.262679877041316,0.323943661971831,0.2068965517241379,-0.1170471102476931,0.1170471102476931
12,purpose=A40,-0.0020640461384527436,-0.06675015657623451,2.128498528874978e-06,0.7105263157894737,0.7083333333333334,1.0007412898443293,0.07017543859649122,0.05921052631578949,-0.11365758424581954,100,4.605170185988092,2,60,4.0943445622221,0,0,0,0,0,0,60,0,1,0.0,0.6,-0.5108256237659907,1.6666666666666667,0.5108256237659907,0.29,0.71,0.5,0.21,2,0,0,0,0,0,-1.979764659914039,100.0000000000001,8.602746784284495,17.90795470684865,-0.4818978595236256,-6.962011221737285,9.999999999999998,1.6908906931744445,2.7086165620223053,1.2361820930458383,4.262679877041316,0.2894736842105263,0.29166666666666663,0.002192982456140302,-0.002192982456140302
13,purpose=A41,0.2360038628994388,0.2302830932359191,0.04435816845231111,0.6704545454545454,1.0,0.9443021766965428,-0.31818181818181823,0.19318181818181823,-0.08737580362361194,100,4.605170185988092,2,60,4.0943445622221,0,0,0,0,0,0,60,0,1,0.0,0.6,-0.5108256237659907,1.6666666666666667,0.5108256237659907,0.29,0.71,0.5,0.21,2,0,0,0,0,0,-1.979764659914039,100.0000000000001,8.602746784284495,17.90795470684865,3.7121291815695403,-6.962011221737285,9.999999999999998,1.6908906931744445,2.7086165620223053,2.3745053629020614,4.262679877041316,0.3295454545454546,0.0,-0.3295454545454546,0.3295454545454546
14,purpose=A42,-0.25223123003358655,-0.03860506952312748,0.02947990729562583,0.7654320987654321,0.47368421052631576,1.078073378542862,0.044184535412605586,-0.179987004548408,0.1456328994529334,100,4.605170185988092,2,60,4.0943445622221,0,0,0,0,0,0,60,0,1,0.0,0.6,-0.5108256237659907,1.6666666666666667,0.5108256237659907,0.29,0.71,0.5,0.21,2,0,0,0,0,0,-1.979764659914039,100.0000000000001,8.602746784284495,17.90795470684865,0.5860256926065786,-6.962011221737285,9.999999999999998,1.6908906931744445,2.7086165620223053,1.6045893345464728,4.262679877041316,0.23456790123456794,0.5263157894736843,0.2917478882391163,-0.29174788823911635
15,purpose=A43,0.13305353991460037,0.07146393035922011,0.009179417403649498,0.6666666666666666,0.7941176470588235,0.9389671361502347,-0.06773618538324411,0.03475935828876997,-0.014971139971139996,100,4.605170185988092,2,60,4.0943445622221,0,0,0,0,0,0,60,0,1,0.0,0.6,-0.5108256237659907,1.6666666666666667,0.5108256237659907,0.29,0.71,0.5,0.21,2,0,0,0,0,0,-1.979764659914039,100.0000000000001,8.602746784284495,17.90795470684865,-1.5612430539226012,-6.962011221737285,9.999999999999998,1.6908906931744445,2.7086165620223053,0.6858514697280041,4.262679877041316,0.33333333333333337,0.20588235294117652,-0.12745098039215685,0.12745098039215685
16,purpose=A45,0.06423211571437587,0.06267511942419625,0.0034454910900653876,0.7070707070707071,1.0,0.9958742353108551,-0.2828282828282829,0.1717171717171717,-0.09802955665024629,100,4.605170185988092,2,60,4.0943445622221,0,0,0,0,0,0,60,0,1,0.0,0.6,-0.5108256237659907,1.6666666666666667,0.5108256237659907,0.29,0.71,0.5,0.21,2,0,0,0,0,0,-1.979764659914039,100.0000000000001,8.602746784284495,17.90795470684865,100.0000000000001,-6.962011221737285,9.999999999999998,1.6908906931744445,2.7086165620223053,9.999999999999998,4.262679877041316,0.29292929292929293,0.0,-0.29292929292929293,0.29292929292929293
17,purpose=A46,-0.055614458292483446,-0.16350382386265752,0.0014592455626255274,0.7157894736842105,0.6,1.0081541882876206,0.33684210526315783,-0.03157894736842104,-0.2818627450980392,100,4.605170185988092,2,60,4.0943445622221,0,0,0,0,0,0,60,0,1,0.0,0.6,-0.5108256237659907,1.6666666666666667,0.5108256237659907,0.29,0.71,0.5,0.21,2,0,0,0,0,0,-1.979764659914039,100.0000000000001,8.602746784284495,17.90795470684865,15.895777735945167,-6.962011221737285,9.999999999999998,1.6908906931744445,2.7086165620223053,4.192636648331105,4.262679877041316,0.28421052631578947,0.4,0.11578947368421055,-0.11578947368421055
18,purpose=A49,-0.1567316551879079,-0.16350382386265752,0.010956640279398494,0.7263157894736842,0.4,1.022979985174203,0.33684210526315783,-0.2421052631578947,-0.18645484949832777,100,4.605170185988092,2,60,4.0943445622221,0,0,0,0,0,0,60,0,1,0.0,0.6,-0.5108256237659907,1.6666666666666667,0.5108256237659907,0.29,0.71,0.5,0.21,2,0,0,0,0,0,-1.979764659914039,100.0000000000001,8.602746784284495,17.90795470684865,15.89577773594517,-6.962011221737285,9.999999999999998,1.6908906931744445,2.7086165620223053,4.1926366483311055,4.262679877041316,0.27368421052631575,0.6,0.3263157894736842,-0.3263157894736842
19,savings=A61,-0.38750118589244104,-0.3285086098506883,0.08914079487851664,0.9444444444444444,0.578125,1.3302034428794993,0.30729166666666663,-0.04861111111111116,-0.39382029087911435,100,4.605170185988092,2,60,4.0943445622221,0,0,0,0,0,0,60,0,1,0.0,0.6,-0.5108256237659907,1.6666666666666667,0.5108256237659907,0.29,0.71,0.5,0.21,2,0,0,0,0,0,-1.979764659914039,100.0000000000001,8.602746784284495,17.90795470684865,-1.6833118556701032,-6.962011221737285,9.999999999999998,1.6908906931744445,2.7086165620223053,-0.592254426849179,4.262679877041316,0.05555555555555558,0.421875,0.3663194444444444,-0.3663194444444444
