,variable,correlation_true,spearman_correlation,mutual_info,unpriv_prob_pos,priv_prob_pos,unbalance,statistical_parity,equal_opportunity,average_odds,instance_num,log_inst_num,class_num,feat_num,log_feat_num,inst_missing_vals,perc_inst_missing_val,feat_missing_val,perc_feat_missing_val,missing_vals,perc_miss_vals,numeric_features,cat_features,ratio_num_cat,ratio_cat_num,dataset_ratio,log_dataset_ratio,inverse_ratio,log_inverse_ratio,class_prob_min,class_prob_max,class_prob_mean,class_prob_std,symbols,symbols_min,symbols_max,symbols_mean,symbols_std,symbols_sum,kurtosis_min,kurtosis_max,kurtosis_mean,kurtosis_std,kurtosis_var,skew_min,skew_max,skew_mean,skew_std,skew_var,class_entropy,unpriv_prob_neg,priv_prob_neg,pos_prob,neg_prob
10,summerhouserisk,-0.010702688317798926,-0.010702688317798926,5.8203453496247226e-05,0.8556701030927835,0.8666666666666667,0.9982817869415809,-0.04123711340206182,0.010996563573883233,0.08347676419965577,112,4.718498871295094,2,32,3.4657359027997265,0,0,0,0,0,0,32,0,1,0.0,0.2857142857142857,-1.252762968495368,3.5,1.252762968495368,0.14285714285714285,0.8571428571428571,0.5,0.3571428571428571,2,0,0,0,0,0,-2.035362483089975,27.884747693694386,2.54485738653506,7.674193151940025,2.7977513907637803,-4.469933852187172,5.071883641517673,0.7282509720772685,1.8621962734831992,2.179014756260347,2.7725887222397807,0.14432989690721654,0.1333333333333333,-0.010996563573883233,0.010996563573883233
11,outTBEarea,0.03258824778252296,0.03258824778252296,0.0005201542478655286,0.8641975308641975,0.8387096774193549,1.0082304526748973,0.03982477100756676,-0.11469534050179209,0.05244755244755245,112,4.718498871295094,2,32,3.4657359027997265,0,0,0,0,0,0,32,0,1,0.0,0.2857142857142857,-1.252762968495368,3.5,1.252762968495368,0.14285714285714285,0.8571428571428571,0.5,0.3571428571428571,2,0,0,0,0,0,-2.035362483089975,27.884747693694386,2.54485738653506,7.674193151940025,-0.9951582511511479,-4.469933852187172,5.071883641517673,0.7282509720772685,1.8621962734831992,1.0114035264513985,2.7725887222397807,0.13580246913580252,0.16129032258064513,0.025487853444842612,-0.025487853444842612
12,worktickrisk,0.0,0.0,0.0,0.8571428571428571,0.8571428571428571,1.0000000000000002,-0.03809523809523807,0.0,0.07777777777777778,112,4.718498871295094,2,32,3.4657359027997265,0,0,0,0,0,0,32,0,1,0.0,0.2857142857142857,-1.252762968495368,3.5,1.252762968495368,0.14285714285714285,0.8571428571428571,0.5,0.3571428571428571,2,0,0,0,0,0,-2.035362483089975,27.884747693694386,2.54485738653506,7.674193151940025,11.632627189324436,-4.469933852187172,5.071883641517673,0.7282509720772685,1.8621962734831992,3.664040131145485,2.7725887222397807,0.1428571428571429,0.1428571428571429,0.0,0.0
13,tickbiteever,0.03803628871563654,0.03803628871563653,0.0007358423593077368,0.875,0.8472222222222222,1.0208333333333333,0.016666666666666607,-0.06666666666666665,0.03815201192250367,112,4.718498871295094,2,32,3.4657359027997265,0,0,0,0,0,0,32,0,1,0.0,0.2857142857142857,-1.252762968495368,3.5,1.252762968495368,0.14285714285714285,0.8571428571428571,0.5,0.3571428571428571,2,0,0,0,0,0,-2.035362483089975,27.884747693694386,2.54485738653506,7.674193151940025,-1.664742841256602,-4.469933852187172,5.071883641517673,0.7282509720772685,1.8621962734831992,-0.6044098731538399,2.7725887222397807,0.125,0.1527777777777778,0.02777777777777779,-0.02777777777777779
14,diseaseexperience,-0.09575404328567833,-0.09575404328567831,0.004714069158412493,0.828125,0.8958333333333334,0.9661458333333335,0.046875,0.03125,-0.07780126849894287,112,4.718498871295094,2,32,3.4657359027997265,0,0,0,0,0,0,32,0,1,0.0,0.2857142857142857,-1.252762968495368,3.5,1.252762968495368,0.14285714285714285,0.8571428571428571,0.5,0.3571428571428571,2,0,0,0,0,0,-2.035362483089975,27.884747693694386,2.54485738653506,7.674193151940025,-1.9495204336947454,-4.469933852187172,5.071883641517673,0.7282509720772685,1.8621962734831992,0.29260867162601967,2.7725887222397807,0.171875,0.10416666666666663,-0.06770833333333337,0.06770833333333337
15,healthrisktickbite,0.029739982449698037,0.029739982449698037,0.0004390270549175235,0.8656716417910447,0.8444444444444444,1.009950248756219,0.014593698175787706,-0.02122719734660028,-0.020410220954685532,112,4.718498871295094,2,32,3.4657359027997265,0,0,0,0,0,0,32,0,1,0.0,0.2857142857142857,-1.252762968495368,3.5,1.252762968495368,0.14285714285714285,0.8571428571428571,0.5,0.3571428571428571,2,0,0,0,0,0,-2.035362483089975,27.884747693694386,2.54485738653506,7.674193151940025,-1.8687626089734817,-4.469933852187172,5.071883641517673,0.7282509720772685,1.8621962734831992,0.40612230101668206,2.7725887222397807,0.13432835820895528,0.15555555555555556,0.02122719734660028,-0.02122719734660028
16,buy,-0.18966484746404372,-0.1896648474640437,0.01879380601767719,0.7931034482758621,0.9259259259259259,0.925287356321839,-0.033205619412515985,0.09706257982120059,0.0842028985507246,112,4.718498871295094,2,32,3.4657359027997265,0,0,0,0,0,0,32,0,1,0.0,0.2857142857142857,-1.252762968495368,3.5,1.252762968495368,0.14285714285714285,0.8571428571428571,0.5,0.3571428571428571,2,0,0,0,0,0,-2.035362483089975,27.884747693694386,2.54485738653506,7.674193151940025,-2.0313530751999593,-4.469933852187172,5.071883641517673,0.7282509720772685,1.8621962734831992,0.07244808830817523,2.7725887222397807,0.2068965517241379,0.07407407407407407,-0.13282247765006383,0.13282247765006383
17,swedishborne,-0.0353002254809104,-0.03530022548091039,0.0005681459663545371,0.8,0.8598130841121495,0.9333333333333332,0.03738317757009346,0.05981308411214947,-0.07753623188405795,112,4.718498871295094,2,32,3.4657359027997265,0,0,0,0,0,0,32,0,1,0.0,0.2857142857142857,-1.252762968495368,3.5,1.252762968495368,0.14285714285714285,0.8571428571428571,0.5,0.3571428571428571,2,0,0,0,0,0,-2.035362483089975,27.884747693694386,2.54485738653506,7.674193151940025,18.306949248984758,-4.469933852187172,5.071883641517673,0.7282509720772685,1.8621962734831992,-4.469933852187172,2.7725887222397807,0.19999999999999996,0.14018691588785048,-0.05981308411214947,0.05981308411214947
18,hightrusthealthcare,-0.210818510677892,-0.21081851067789195,0.02147063131128793,0.7619047619047619,0.9142857142857143,0.888888888888889,-0.09523809523809523,0.1523809523809524,0.13124999999999998,112,4.718498871295094,2,32,3.4657359027997265,0,0,0,0,0,0,32,0,1,0.0,0.2857142857142857,-1.252762968495368,3.5,1.252762968495368,0.14285714285714285,0.8571428571428571,0.5,0.3571428571428571,2,0,0,0,0,0,-2.035362483089975,27.884747693694386,2.54485738653506,7.674193151940025,-1.7577314428690578,-4.469933852187172,5.071883641517673,0.7282509720772685,1.8621962734831992,-0.523434304449355,2.7725887222397807,0.23809523809523814,0.08571428571428574,-0.1523809523809524,0.1523809523809524
19,outdoorpet,0.0719608639321375,0.0719608639321375,0.0024933010683027,0.8734177215189873,0.8181818181818182,1.018987341772152,0.035289604909858,-0.0552359033371691,-0.04460547504025769,112,4.718498871295094,2,32,3.4657359027997265,0,0,0,0,0,0,32,0,1,0.0,0.2857142857142857,-1.252762968495368,3.5,1.252762968495368,0.14285714285714285,0.8571428571428571,0.5,0.3571428571428571,2,0,0,0,0,0,-2.035362483089975,27.884747693694386,2.54485738653506,7.674193151940025,-1.1876010983452843,-4.469933852187172,5.071883641517673,0.7282509720772685,1.8621962734831992,0.913198378487118,2.7725887222397807,0.12658227848101267,0.18181818181818177,0.0552359033371691,-0.0552359033371691
20,certainanswer,0.12067769800636945,0.12067769800636946,0.012958640530665866,1.0,0.8446601941747572,1.1666666666666667,0.03883495145631066,-0.15533980582524276,0.4260057471264368,112,4.718498871295094,2,32,3.4657359027997265,0,0,0,0,0,0,32,0,1,0.0,0.2857142857142857,-1.252762968495368,3.5,1.252762968495368,0.14285714285714285,0.8571428571428571,0.5,0.3571428571428571,2,0,0,0,0,0,-2.035362483089975,27.884747693694386,2.54485738653506,7.674193151940025,7.934750371803901,-4.469933852187172,5.071883641517673,0.7282509720772685,1.8621962734831992,-3.129434039021151,2.7725887222397807,0.0,0.15533980582524276,0.15533980582524276,-0.15533980582524276
0,age1830,0.19085145962800223,0.19085145962800226,0.01574588152157058,0.8709677419354839,0.6842105263157895,1.037748798901853,0.009620826259196469,-0.09111488398415402,-0.05864197530864196,112,4.718498871295094,2,32,3.4657359027997265,0,0,0,0,0,0,32,0,1,0.0,0.2857142857142857,-1.252762968495368,3.5,1.252762968495368,0.16071428571428573,0.8392857142857143,0.5,0.3392857142857143,2,0,0,0,0,0,-1.9702768179832402,67.5382107603274,4.297792255899609,13.783705639693268,1.2052737779502154,-4.019289215082682,7.748621911673979,1.017913938141703,2.1503556501723007,1.7843960801836454,2.8903717578961645,0.12903225806451613,0.3157894736842105,0.18675721561969438,-0.18675721561969438
1,age3145,-0.04509413850736122,-0.04509413850736122,0.0010498811038640726,0.8292682926829268,0.8666666666666667,0.9880643487285937,0.030081300813008083,-0.01707317073170722,0.011958629605688442,112,4.718498871295094,2,32,3.4657359027997265,0,0,0,0,0,0,32,0,1,0.0,0.2857142857142857,-1.252762968495368,3.5,1.252762968495368,0.16071428571428573,0.8392857142857143,0.5,0.3392857142857143,2,0,0,0,0,0,-1.9702768179832402,67.5382107603274,4.297792255899609,13.783705639693268,-0.8868138082548462,-4.019289215082682,7.748621911673979,1.017913938141703,2.1503556501723007,1.0627071575562226,2.8903717578961645,0.1707317073170732,0.1333333333333333,-0.03739837398373991,0.03739837398373991
2,age4665,0.0009703009575226779,0.0009703009575226779,4.704619321060921e-07,0.8395061728395061,0.8387096774193549,1.0002626740215392,0.027479091995221028,-0.05296694544006375,0.01470588235294118,112,4.718498871295094,2,32,3.4657359027997265,0,0,0,0,0,0,32,0,1,0.0,0.2857142857142857,-1.252762968495368,3.5,1.252762968495368,0.16071428571428573,0.8392857142857143,0.5,0.3392857142857143,2,0,0,0,0,0,-1.9702768179832402,67.5382107603274,4.297792255899609,13.783705639693268,-0.9951582511511479,-4.019289215082682,7.748621911673979,1.017913938141703,2.1503556501723007,1.0114035264513985,2.8903717578961645,0.16049382716049387,0.16129032258064513,0.0007964954201512553,-0.0007964954201512553
