,variable,correlation_true,correlation_pred,mutual_info,unpriv_prob,priv_prob,unbalance,statistical_parity,equal_opportunity,average_odds
3,age_25,0.017579953185353072,-0.025497174303922284,0.0013821251929362472,0.056020495303159695,0.0702247191011236,0.9856750604190506,0.005123825789923143,-0.01637993072280486,-0.011163600418345417
4,age_35,-0.03315278956126526,-0.014621507147409842,0.002861704915500394,0.058621933621933624,0.041979010494752625,1.0314471097049,0.003731629856067637,0.05604800413645983,-0.009762305793761823
5,age_45,-0.07705946017377006,-0.03734162089578654,0.004578409999931934,0.060168697282099344,0.0365296803652968,1.0586622629436802,-0.0010217269432069602,0.08132475724623722,-0.004893514942204585
6,age_55,-0.044285602065186454,-0.03351394750314415,0.0023196909656348825,0.058310626702997276,0.0453257790368272,1.0259696953323403,0.0022534240054753207,0.051332165196203317,-0.008278602643335905
7,age_65,-0.0013013647754956232,0.006126195826737138,0.002222462408223344,0.0563174254891205,0.06064690026954178,0.9908995176003611,-0.002167324873003881,-0.005463531524658283,-0.003776406023893457
8,age_75,0.06688725597290938,0.05677570729862947,0.004336879576790668,0.057203389830508475,0.0549558390578999,1.0064879723435924,-9.167119037214403e-05,-0.07714971776614132,-0.006240570852562871
9,age_85,0.10164256082394985,0.09460822005992865,0.007101541768835751,0.05633065922567143,0.06289308176100629,0.9911323638828478,-0.008393056533575517,-0.1445429411089394,0.07117980317664283
10,age_MISS,0.08544205028572513,0.039858953552159085,0.005058864877909994,0.05484032770439726,0.10869565217391304,0.9649101285326102,-0.017559227408532815,-0.18095999651068972,0.01422404680441639
11,sexMALE,-0.037493423532511776,-0.02742537888268783,0.0012648342128058366,0.06226025376217173,0.050318922749822824,1.0954629918324326,-0.0008892947730379632,0.02739906216782151,0.01421530365703988
12,sexFEMALE,0.037493423532511776,0.02742537888268783,0.0012648342128058366,0.050318922749822824,0.06226025376217173,0.8853564566548145,0.0008892947730379632,-0.02739906216782151,-0.01421530365703988
13,pcg45,-0.0068569809103012185,0.05485120985369304,4.625935086092136e-05,0.056852955387340955,0.0,1.0003221130616846,0.00483169592526977,-0.35263327427927205,-0.010447143144630723
14,labNull,-0.060034716350903926,-0.07998982864850879,0.006004638274670258,0.054472880957971356,0.061987704918032786,0.9584449394616433,0.006296815037779207,0.05594336871966399,-0.01477928299502193
15,drugNull,-0.07174700250589644,-0.08014204110748664,0.005551395768284242,0.059848484848484845,0.05153265215459796,1.0530281569233413,0.004091896306467608,0.06548133489492891,-0.012274711781883484
0,ClaimsTruncated,0.1719298897501438,0.23831566802860715,0.015224526431565922,0.05783582089552239,0.08888888888888889,0.9734912834202968,-0.032037324201503306,-0.3295249940772328,0.09972715041538996
